timestamp,rep_duration_seconds,min_elbow_angle,max_elbow_angle,avg_elbow_angle,min_back_angle,avg_back_angle,max_flare_angle,min_neck_angle,label_binary,label_specific
2026-03-28T07:09:38.304220,2.78,83.81,164.71,118.96,155.28,164.33,30.92,85.15,good_form,perfect
2026-03-28T07:11:34.604007,2.34,81.52,166.01,120.67,110.31,147.75,125.54,8.79,good_form,perfect
2026-03-28T07:11:38.597096,2.16,89.41,167.08,129.76,160.04,168.28,121.58,26.17,bad_form,shallow_depth
2026-03-28T07:11:43.996927,2.72,80.06,161.94,119.66,155.25,167.5,136.05,13.19,good_form,perfect
2026-03-28T07:11:51.971146,1.97,60.16,167.52,111.97,155.99,165.52,160.36,21.18,good_form,perfect
2026-03-28T07:11:59.681005,2.57,81.31,161.77,115.85,146.94,166.8,105.76,31.33,good_form,perfect
2026-03-28T07:12:12.446914,2.61,59.88,161.38,105.72,115.72,153.31,151.36,4.67,good_form,perfect
2026-03-28T07:12:44.857317,1.94,50.1,165.44,108.44,144.24,161.54,164.58,25.65,good_form,perfect
2026-03-28T07:12:49.444735,2.19,81.04,171.04,126.11,153.75,164.67,127.02,32.64,good_form,perfect
2026-03-28T07:12:53.144850,2.01,76.97,170.8,120.87,147.18,163.25,151.51,26.21,bad_form,elbow_flare
2026-03-28T07:13:04.387345,3.51,39.84,162.55,89.77,87.55,136.91,176.04,6.21,good_form,perfect
2026-03-28T07:13:10.947310,3.67,35.91,172.75,82.11,137.61,160.58,165.45,18.06,good_form,perfect
2026-03-28T07:13:16.119353,2.98,30.47,162.93,91.91,145.85,161.43,150.26,15.61,bad_form,elbow_flare
2026-03-28T07:14:39.079107,78.8,18.93,168.25,77.7,9.04,72.59,131.87,128.88,bad_form,elbow_flare
2026-03-28T07:14:55.368728,7.89,53.6,160.39,118.76,60.77,97.56,118.33,77.18,bad_form,elbow_flare
2026-03-28T07:15:04.905008,9.27,55.88,161.24,101.46,155.31,172.7,141.78,127.74,bad_form,elbow_flare
2026-03-28T07:15:22.235936,15.59,23.38,164.87,73.8,23.12,155.48,130.57,121.43,bad_form,elbow_flare
2026-03-28T07:15:25.614873,3.38,58.25,155.75,112.83,173.65,174.59,134.39,125.11,bad_form,elbow_flare
2026-03-28T07:15:28.141139,1.19,58.68,161.31,106.36,173.29,174.91,133.52,123.7,bad_form,elbow_flare
2026-03-28T07:15:34.901939,0.69,71.36,165.82,116.88,173.24,173.61,141.87,129.07,bad_form,elbow_flare
2026-03-28T07:15:37.818991,2.92,72.65,158.08,117.76,173.09,174.39,143.31,131.59,bad_form,elbow_flare
